Src IP,Src Port,Dst IP,Dst Port,Flow Duration,Total Packets,Total Bytes,Packets per Second,Bytes per Second
104.18.39.21,443,192.168.1.15,55761,0.040336,3,222,74.37524791749305831019436731,5503.768345894486314954383181
104.18.39.21,443,192.168.1.15,55761,0.043786,3,222,68.51505047275384826200155301,5070.113734983784771388114923
104.18.39.21,443,192.168.1.15,55761,0.043515,3,222,68.94174422612892106170286108,5101.689072733540158566011720
192.168.1.15,52905,20.150.179.224,8883,0.231100,3,224,12.98139333621808740804846387,969.2773691042838598009519688
192.168.1.15,52905,20.150.179.224,8883,0.239328,3,224,12.53509827517047733654231849,935.9540045460623077951597807
192.168.1.15,52905,20.150.179.224,8883,0.241325,3,224,12.43136848648088677095203564,928.2088469905728788977519942
192.168.1.15,52905,20.150.179.224,8883,0.235579,3,224,12.73458160532135716681028445,950.8487598639946684551679055
192.168.1.15,61122,20.195.84.7,443,0.041229,2,135,48.50954425283174464575905309,3274.394237066142763588736084
192.168.1.15,61122,20.195.84.7,443,0.124389,2,139,16.07859215847060431388627612,1117.462155013706999815096190
192.168.1.15,61122,20.195.84.7,443,0.126842,2,136,15.76764793995679664464451838,1072.200059917062171835827250
192.168.1.15,61122,20.195.84.7,443,0.046496,2,135,43.01445285615966964900206469,2903.475567790777701307639367
192.168.1.15,61122,20.195.84.7,443,0.127387,2,139,15.70018918727970672046598162,1091.163148515939617072385722
192.168.1.15,61122,20.195.84.7,443,0.054529,2,135,36.67773111555319187955033102,2475.746850299840451869647344
192.168.1.15,61122,20.195.84.7,443,0.130313,2,139,15.34766293462662972995787067,1066.662573956550766232072011
192.168.1.15,61122,20.195.84.7,443,0.168915,2,136,11.84027469437290945149927478,805.1386792173578427019506853
192.168.1.15,61122,20.195.84.7,443,0.043373,2,135,46.11163627141309109353745418,3112.535448320383648813778157
192.168.1.15,61122,20.195.84.7,443,0.124506,2,139,16.06348288435898671549965464,1116.412060462949576727225997
192.168.1.15,61122,20.195.84.7,443,0.054240,2,135,36.87315634218289085545722714,2488.938053097345132743362832
192.168.1.15,61122,20.195.84.7,443,0.127282,2,139,15.71314089973444791879448783,1092.063292531544130356216904
192.168.1.15,61122,20.195.84.7,443,0.124309,2,136,16.08893965843181105149265138,1094.047896773363151501500294
192.168.1.15,61122,20.195.84.7,443,0.046516,2,135,42.99595837991228824490497893,2902.227190644079456531086078
192.168.1.15,61122,20.195.84.7,443,0.124126,2,139,16.11265971673944217972060648,1119.829850313391231490582150
192.168.1.15,61122,20.195.84.7,443,0.046156,2,135,43.33131120547707773637230263,2924.863506369702747205130427
192.168.1.15,61122,20.195.84.7,443,0.127144,2,139,15.73019568363430441074686969,1093.248600012584156546907444
192.168.1.15,61122,20.195.84.7,443,0.126186,2,136,15.84961881666745914760750004,1077.774079533387222037310003
192.168.1.15,61122,20.195.84.7,443,0.052567,2,135,38.04668328038503243479749653,2568.151121425989689348831016
192.168.1.15,61122,20.195.84.7,443,0.126359,2,139,15.82791886608789243346338607,1100.040361193108524125705332
192.168.1.15,61122,20.195.84.7,443,0.055797,2,135,35.84422101546678136817391616,2419.484918544007742351739341
192.168.1.15,61122,20.195.84.7,443,0.987337,4,275,4.051301632573275386215648760,278.5269872394126828023258523
192.168.1.15,61122,20.195.84.7,443,0.046223,2,135,43.26850269346429266815221859,2920.623931808839755100274755
192.168.1.15,61122,20.195.84.7,443,0.125509,2,139,15.93511222302783067349751811,1107.490299500434231808077508
192.168.1.15,61122,20.195.84.7,443,0.054187,2,135,36.90922176905899939099784081,2491.372469411482458892354255
